"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V24","V25","V26","V27","V29","V30","V31","V32","V33","V34","V36","V37","V38","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V87","V88","V89","V90","V91","V92","V93","V94","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V116","V117","V118","V120","V121","V124","V126","V127","V134","V137","V142","V148","V153","V158","V159","V161","V163","V164","V165","V167","V169","V171","V175","V176","V177","V179","V184","V185","V187","V190","V192","V194","V197","V203","V206","V212","V245","V246","V270"
"159",22,22,21,20,21,21,19,20,20,19,20,20,19,20,20,20,21,21,21,22,22,21,23,24,24,17,20,21,22,23,24,24,21,21,21,23,23,21,22,23,24,25,25,17,18,21,22,23,25,25,25,22,23,23,22,22,22,23,24,24,22,24,25,25,25,26,26,22,24,24,24,25,26,27,27,23,25,26,26,26,27,27,24,25,26,26,25,27,27,28,28,26,27,28,29,29,27,27,27,27,15,17,17,16,15,17,18,18,18,18,17,18,16,18,13,13,14,10,9,4,0,4,6,6,6,18,20,24,24,24,23,26,30,30,31,26,27,29,30,31,30,26,30,30,23
"161",22,22,21,20,21,21,19,20,20,19,20,20,19,20,20,20,21,21,21,22,22,21,23,24,24,17,20,21,22,23,24,24,21,21,21,23,23,21,22,23,24,25,25,17,18,21,22,23,25,25,25,22,23,23,22,22,22,23,24,24,22,24,25,25,25,26,26,22,24,24,24,25,26,27,27,23,25,26,26,26,27,27,24,25,26,26,25,27,27,28,28,26,27,28,29,29,27,27,27,27,15,17,17,16,15,17,18,18,18,18,17,18,16,18,13,13,14,10,9,4,4,0,4,4,4,18,20,24,24,24,23,26,30,30,31,26,27,29,30,31,30,26,30,30,23
"163",24,24,23,22,23,23,21,22,22,21,22,22,21,22,22,22,23,23,23,24,24,23,25,26,26,19,22,23,24,25,26,26,23,23,23,25,25,23,24,25,26,27,27,19,20,23,24,25,27,27,27,24,25,25,24,24,24,25,26,26,24,26,27,27,27,28,28,24,26,26,26,27,28,29,29,25,27,28,28,28,29,29,26,27,28,28,27,29,29,30,30,28,29,30,31,31,29,29,29,29,17,19,19,18,17,19,20,20,20,20,19,20,18,20,15,15,16,12,11,6,6,4,0,4,4,20,22,26,26,26,25,28,32,32,33,28,29,31,32,33,32,28,32,32,25
"164",24,24,23,22,23,23,21,22,22,21,22,22,21,22,22,22,23,23,23,24,24,23,25,26,26,19,22,23,24,25,26,26,23,23,23,25,25,23,24,25,26,27,27,19,20,23,24,25,27,27,27,24,25,25,24,24,24,25,26,26,24,26,27,27,27,28,28,24,26,26,26,27,28,29,29,25,27,28,28,28,29,29,26,27,28,28,27,29,29,30,30,28,29,30,31,31,29,29,29,29,17,19,19,18,17,19,20,20,20,20,19,20,18,20,15,15,16,12,11,6,6,4,4,0,2,20,22,26,26,26,25,28,32,32,33,28,29,31,32,33,32,28,32,32,25
"165",24,24,23,22,23,23,21,22,22,21,22,22,21,22,22,22,23,23,23,24,24,23,25,26,26,19,22,23,24,25,26,26,23,23,23,25,25,23,24,25,26,27,27,19,20,23,24,25,27,27,27,24,25,25,24,24,24,25,26,26,24,26,27,27,27,28,28,24,26,26,26,27,28,29,29,25,27,28,28,28,29,29,26,27,28,28,27,29,29,30,30,28,29,30,31,31,29,29,29,29,17,19,19,18,17,19,20,20,20,20,19,20,18,20,15,15,16,12,11,6,6,4,4,2,0,20,22,26,26,26,25,28,32,32,33,28,29,31,32,33,32,28,32,32,25
"167",8,8,7,6,7,7,7,8,8,7,8,8,7,8,8,8,9,9,9,10,10,9,11,12,12,7,10,11,12,13,14,14,11,11,11,13,13,11,12,13,14,15,15,7,8,11,12,13,15,15,15,12,13,13,12,12,12,13,14,14,12,14,15,15,15,16,16,12,14,14,14,15,16,17,17,13,15,16,16,16,17,17,14,15,16,16,15,17,17,18,18,16,17,18,19,19,17,17,17,17,7,9,9,8,9,11,12,12,12,12,11,12,10,12,11,13,14,14,15,16,18,18,20,20,20,0,4,8,8,8,7,10,14,14,15,10,11,13,14,15,14,10,14,14,9
"169",10,10,9,8,9,9,9,10,10,9,10,10,9,10,10,10,11,11,11,12,12,11,13,14,14,9,12,13,14,15,16,16,13,13,13,15,15,13,14,15,16,17,17,9,10,13,14,15,17,17,17,14,15,15,14,14,14,15,16,16,14,16,17,17,17,18,18,14,16,16,16,17,18,19,19,15,17,18,18,18,19,19,16,17,18,18,17,19,19,20,20,18,19,20,21,21,19,19,19,19,9,11,11,10,11,13,14,14,14,14,13,14,12,14,13,15,16,16,17,18,20,20,22,22,22,4,0,6,6,6,5,8,12,12,13,8,9,11,12,13,12,8,12,12,11
"171",14,14,13,12,13,13,13,14,14,13,14,14,13,14,14,14,15,15,15,16,16,15,17,18,18,13,16,17,18,19,20,20,17,17,17,19,19,17,18,19,20,21,21,13,14,17,18,19,21,21,21,18,19,19,18,18,18,19,20,20,18,20,21,21,21,22,22,18,20,20,20,21,22,23,23,19,21,22,22,22,23,23,20,21,22,22,21,23,23,24,24,22,23,24,25,25,23,23,23,23,13,15,15,14,15,17,18,18,18,18,17,18,16,18,17,19,20,20,21,22,24,24,26,26,26,8,6,0,8,8,7,10,14,14,15,10,11,13,14,15,14,10,14,14,15
"175",14,14,13,12,13,13,13,14,14,13,14,14,13,14,14,14,15,15,15,16,16,15,17,18,18,13,16,17,18,19,20,20,17,17,17,19,19,17,18,19,20,21,21,13,14,17,18,19,21,21,21,18,19,19,18,18,18,19,20,20,18,20,21,21,21,22,22,18,20,20,20,21,22,23,23,19,21,22,22,22,23,23,20,21,22,22,21,23,23,24,24,22,23,24,25,25,23,23,23,23,13,15,15,14,15,17,18,18,18,18,17,18,16,18,17,19,20,20,21,22,24,24,26,26,26,8,6,8,0,2,3,8,12,12,13,8,9,11,12,13,12,8,12,12,15
"176",14,14,13,12,13,13,13,14,14,13,14,14,13,14,14,14,15,15,15,16,16,15,17,18,18,13,16,17,18,19,20,20,17,17,17,19,19,17,18,19,20,21,21,13,14,17,18,19,21,21,21,18,19,19,18,18,18,19,20,20,18,20,21,21,21,22,22,18,20,20,20,21,22,23,23,19,21,22,22,22,23,23,20,21,22,22,21,23,23,24,24,22,23,24,25,25,23,23,23,23,13,15,15,14,15,17,18,18,18,18,17,18,16,18,17,19,20,20,21,22,24,24,26,26,26,8,6,8,2,0,3,8,12,12,13,8,9,11,12,13,12,8,12,12,15
"177",13,13,12,11,12,12,12,13,13,12,13,13,12,13,13,13,14,14,14,15,15,14,16,17,17,12,15,16,17,18,19,19,16,16,16,18,18,16,17,18,19,20,20,12,13,16,17,18,20,20,20,17,18,18,17,17,17,18,19,19,17,19,20,20,20,21,21,17,19,19,19,20,21,22,22,18,20,21,21,21,22,22,19,20,21,21,20,22,22,23,23,21,22,23,24,24,22,22,22,22,12,14,14,13,14,16,17,17,17,17,16,17,15,17,16,18,19,19,20,21,23,23,25,25,25,7,5,7,3,3,0,7,11,11,12,7,8,10,11,12,11,7,11,11,14
"179",16,16,15,14,15,15,15,16,16,15,16,16,15,16,16,16,17,17,17,18,18,17,19,20,20,15,18,19,20,21,22,22,19,19,19,21,21,19,20,21,22,23,23,15,16,19,20,21,23,23,23,20,21,21,20,20,20,21,22,22,20,22,23,23,23,24,24,20,22,22,22,23,24,25,25,21,23,24,24,24,25,25,22,23,24,24,23,25,25,26,26,24,25,26,27,27,25,25,25,25,15,17,17,16,17,19,20,20,20,20,19,20,18,20,19,21,22,22,23,24,26,26,28,28,28,10,8,10,8,8,7,0,6,6,7,6,7,9,10,11,10,8,12,12,17
"184",20,20,19,18,19,19,19,20,20,19,20,20,19,20,20,20,21,21,21,22,22,21,23,24,24,19,22,23,24,25,26,26,23,23,23,25,25,23,24,25,26,27,27,19,20,23,24,25,27,27,27,24,25,25,24,24,24,25,26,26,24,26,27,27,27,28,28,24,26,26,26,27,28,29,29,25,27,28,28,28,29,29,26,27,28,28,27,29,29,30,30,28,29,30,31,31,29,29,29,29,19,21,21,20,21,23,24,24,24,24,23,24,22,24,23,25,26,26,27,28,30,30,32,32,32,14,12,14,12,12,11,6,0,2,5,10,11,13,14,15,14,12,16,16,21
"185",20,20,19,18,19,19,19,20,20,19,20,20,19,20,20,20,21,21,21,22,22,21,23,24,24,19,22,23,24,25,26,26,23,23,23,25,25,23,24,25,26,27,27,19,20,23,24,25,27,27,27,24,25,25,24,24,24,25,26,26,24,26,27,27,27,28,28,24,26,26,26,27,28,29,29,25,27,28,28,28,29,29,26,27,28,28,27,29,29,30,30,28,29,30,31,31,29,29,29,29,19,21,21,20,21,23,24,24,24,24,23,24,22,24,23,25,26,26,27,28,30,30,32,32,32,14,12,14,12,12,11,6,2,0,5,10,11,13,14,15,14,12,16,16,21
"187",21,21,20,19,20,20,20,21,21,20,21,21,20,21,21,21,22,22,22,23,23,22,24,25,25,20,23,24,25,26,27,27,24,24,24,26,26,24,25,26,27,28,28,20,21,24,25,26,28,28,28,25,26,26,25,25,25,26,27,27,25,27,28,28,28,29,29,25,27,27,27,28,29,30,30,26,28,29,29,29,30,30,27,28,29,29,28,30,30,31,31,29,30,31,32,32,30,30,30,30,20,22,22,21,22,24,25,25,25,25,24,25,23,25,24,26,27,27,28,29,31,31,33,33,33,15,13,15,13,13,12,7,5,5,0,11,12,14,15,16,15,13,17,17,22
"190",16,16,15,14,15,15,15,16,16,15,16,16,15,16,16,16,17,17,17,18,18,17,19,20,20,15,18,19,20,21,22,22,19,19,19,21,21,19,20,21,22,23,23,15,16,19,20,21,23,23,23,20,21,21,20,20,20,21,22,22,20,22,23,23,23,24,24,20,22,22,22,23,24,25,25,21,23,24,24,24,25,25,22,23,24,24,23,25,25,26,26,24,25,26,27,27,25,25,25,25,15,17,17,16,17,19,20,20,20,20,19,20,18,20,19,21,22,22,23,24,26,26,28,28,28,10,8,10,8,8,7,6,10,10,11,0,3,7,8,9,8,8,12,12,17
"192",17,17,16,15,16,16,16,17,17,16,17,17,16,17,17,17,18,18,18,19,19,18,20,21,21,16,19,20,21,22,23,23,20,20,20,22,22,20,21,22,23,24,24,16,17,20,21,22,24,24,24,21,22,22,21,21,21,22,23,23,21,23,24,24,24,25,25,21,23,23,23,24,25,26,26,22,24,25,25,25,26,26,23,24,25,25,24,26,26,27,27,25,26,27,28,28,26,26,26,26,16,18,18,17,18,20,21,21,21,21,20,21,19,21,20,22,23,23,24,25,27,27,29,29,29,11,9,11,9,9,8,7,11,11,12,3,0,8,9,10,9,9,13,13,18
"194",19,19,18,17,18,18,18,19,19,18,19,19,18,19,19,19,20,20,20,21,21,20,22,23,23,18,21,22,23,24,25,25,22,22,22,24,24,22,23,24,25,26,26,18,19,22,23,24,26,26,26,23,24,24,23,23,23,24,25,25,23,25,26,26,26,27,27,23,25,25,25,26,27,28,28,24,26,27,27,27,28,28,25,26,27,27,26,28,28,29,29,27,28,29,30,30,28,28,28,28,18,20,20,19,20,22,23,23,23,23,22,23,21,23,22,24,25,25,26,27,29,29,31,31,31,13,11,13,11,11,10,9,13,13,14,7,8,0,5,8,7,11,15,15,20
"197",20,20,19,18,19,19,19,20,20,19,20,20,19,20,20,20,21,21,21,22,22,21,23,24,24,19,22,23,24,25,26,26,23,23,23,25,25,23,24,25,26,27,27,19,20,23,24,25,27,27,27,24,25,25,24,24,24,25,26,26,24,26,27,27,27,28,28,24,26,26,26,27,28,29,29,25,27,28,28,28,29,29,26,27,28,28,27,29,29,30,30,28,29,30,31,31,29,29,29,29,19,21,21,20,21,23,24,24,24,24,23,24,22,24,23,25,26,26,27,28,30,30,32,32,32,14,12,14,12,12,11,10,14,14,15,8,9,5,0,9,8,12,16,16,21
"203",21,21,20,19,20,20,20,21,21,20,21,21,20,21,21,21,22,22,22,23,23,22,24,25,25,20,23,24,25,26,27,27,24,24,24,26,26,24,25,26,27,28,28,20,21,24,25,26,28,28,28,25,26,26,25,25,25,26,27,27,25,27,28,28,28,29,29,25,27,27,27,28,29,30,30,26,28,29,29,29,30,30,27,28,29,29,28,30,30,31,31,29,30,31,32,32,30,30,30,30,20,22,22,21,22,24,25,25,25,25,24,25,23,25,24,26,27,27,28,29,31,31,33,33,33,15,13,15,13,13,12,11,15,15,16,9,10,8,9,0,5,13,17,17,22
"206",20,20,19,18,19,19,19,20,20,19,20,20,19,20,20,20,21,21,21,22,22,21,23,24,24,19,22,23,24,25,26,26,23,23,23,25,25,23,24,25,26,27,27,19,20,23,24,25,27,27,27,24,25,25,24,24,24,25,26,26,24,26,27,27,27,28,28,24,26,26,26,27,28,29,29,25,27,28,28,28,29,29,26,27,28,28,27,29,29,30,30,28,29,30,31,31,29,29,29,29,19,21,21,20,21,23,24,24,24,24,23,24,22,24,23,25,26,26,27,28,30,30,32,32,32,14,12,14,12,12,11,10,14,14,15,8,9,7,8,5,0,12,16,16,21
"212",16,16,15,14,15,15,15,16,16,15,16,16,15,16,16,16,17,17,17,18,18,17,19,20,20,15,18,19,20,21,22,22,19,19,19,21,21,19,20,21,22,23,23,15,16,19,20,21,23,23,23,20,21,21,20,20,20,21,22,22,20,22,23,23,23,24,24,20,22,22,22,23,24,25,25,21,23,24,24,24,25,25,22,23,24,24,23,25,25,26,26,24,25,26,27,27,25,25,25,25,15,17,17,16,17,19,20,20,20,20,19,20,18,20,19,21,22,22,23,24,26,26,28,28,28,10,8,10,8,8,7,8,12,12,13,8,9,11,12,13,12,0,10,10,17
"245",20,20,19,18,19,19,19,20,20,19,20,20,19,20,20,20,21,21,21,22,22,21,23,24,24,19,22,23,24,25,26,26,23,23,23,25,25,23,24,25,26,27,27,19,20,23,24,25,27,27,27,24,25,25,24,24,24,25,26,26,24,26,27,27,27,28,28,24,26,26,26,27,28,29,29,25,27,28,28,28,29,29,26,27,28,28,27,29,29,30,30,28,29,30,31,31,29,29,29,29,19,21,21,20,21,23,24,24,24,24,23,24,22,24,23,25,26,26,27,28,30,30,32,32,32,14,12,14,12,12,11,12,16,16,17,12,13,15,16,17,16,10,0,2,21
"246",20,20,19,18,19,19,19,20,20,19,20,20,19,20,20,20,21,21,21,22,22,21,23,24,24,19,22,23,24,25,26,26,23,23,23,25,25,23,24,25,26,27,27,19,20,23,24,25,27,27,27,24,25,25,24,24,24,25,26,26,24,26,27,27,27,28,28,24,26,26,26,27,28,29,29,25,27,28,28,28,29,29,26,27,28,28,27,29,29,30,30,28,29,30,31,31,29,29,29,29,19,21,21,20,21,23,24,24,24,24,23,24,22,24,23,25,26,26,27,28,30,30,32,32,32,14,12,14,12,12,11,12,16,16,17,12,13,15,16,17,16,10,2,0,21
"270",11,11,10,9,10,10,12,13,13,12,13,13,12,13,13,13,14,14,14,15,15,14,16,17,17,12,15,16,17,18,19,19,16,16,16,18,18,16,17,18,19,20,20,12,13,16,17,18,20,20,20,17,18,18,17,17,17,18,19,19,17,19,20,20,20,21,21,17,19,19,19,20,21,22,22,18,20,21,21,21,22,22,19,20,21,21,20,22,22,23,23,21,22,23,24,24,22,22,22,22,12,14,14,13,14,16,17,17,17,17,16,17,15,17,16,18,19,19,20,21,23,23,25,25,25,9,11,15,15,15,14,17,21,21,22,17,18,20,21,22,21,17,21,21,0
