"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V24","V25","V26","V27","V29","V30","V31","V32","V33","V34","V36","V37","V38","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V87","V88","V89","V90","V91","V92","V93","V94","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V116","V117","V118","V120","V121","V124","V126","V127","V134","V137","V142","V148","V153","V158","V159","V161","V163","V164","V165","V167","V169","V171","V175","V176","V177","V179","V184","V185","V187","V190","V192","V194","V197","V203","V206","V212","V245","V246","V270"
"109",11,11,10,9,10,10,8,9,9,8,9,9,8,9,9,9,10,10,10,11,11,10,12,13,13,6,9,10,11,12,13,13,10,10,10,12,12,10,11,12,13,14,14,6,7,10,11,12,14,14,14,11,12,12,11,11,11,12,13,13,11,13,14,14,14,15,15,11,13,13,13,14,15,16,16,12,14,15,15,15,16,16,13,14,15,15,14,16,16,17,17,15,16,17,18,18,16,16,16,16,0,4,4,3,6,8,9,9,9,9,8,9,7,9,8,10,11,11,12,13,15,15,17,17,17,7,9,13,13,13,12,15,19,19,20,15,16,18,19,20,19,15,19,19,12
"110",13,13,12,11,12,12,10,11,11,10,11,11,10,11,11,11,12,12,12,13,13,12,14,15,15,8,11,12,13,14,15,15,12,12,12,14,14,12,13,14,15,16,16,8,9,12,13,14,16,16,16,13,14,14,13,13,13,14,15,15,13,15,16,16,16,17,17,13,15,15,15,16,17,18,18,14,16,17,17,17,18,18,15,16,17,17,16,18,18,19,19,17,18,19,20,20,18,18,18,18,4,0,2,3,8,10,11,11,11,11,10,11,9,11,10,12,13,13,14,15,17,17,19,19,19,9,11,15,15,15,14,17,21,21,22,17,18,20,21,22,21,17,21,21,14
"111",13,13,12,11,12,12,10,11,11,10,11,11,10,11,11,11,12,12,12,13,13,12,14,15,15,8,11,12,13,14,15,15,12,12,12,14,14,12,13,14,15,16,16,8,9,12,13,14,16,16,16,13,14,14,13,13,13,14,15,15,13,15,16,16,16,17,17,13,15,15,15,16,17,18,18,14,16,17,17,17,18,18,15,16,17,17,16,18,18,19,19,17,18,19,20,20,18,18,18,18,4,2,0,3,8,10,11,11,11,11,10,11,9,11,10,12,13,13,14,15,17,17,19,19,19,9,11,15,15,15,14,17,21,21,22,17,18,20,21,22,21,17,21,21,14
"112",12,12,11,10,11,11,9,10,10,9,10,10,9,10,10,10,11,11,11,12,12,11,13,14,14,7,10,11,12,13,14,14,11,11,11,13,13,11,12,13,14,15,15,7,8,11,12,13,15,15,15,12,13,13,12,12,12,13,14,14,12,14,15,15,15,16,16,12,14,14,14,15,16,17,17,13,15,16,16,16,17,17,14,15,16,16,15,17,17,18,18,16,17,18,19,19,17,17,17,17,3,3,3,0,7,9,10,10,10,10,9,10,8,10,9,11,12,12,13,14,16,16,18,18,18,8,10,14,14,14,13,16,20,20,21,16,17,19,20,21,20,16,20,20,13
"113",13,13,12,11,12,12,10,11,11,10,11,11,10,11,11,11,12,12,12,13,13,12,14,15,15,8,11,12,13,14,15,15,12,12,12,14,14,12,13,14,15,16,16,8,9,12,13,14,16,16,16,13,14,14,13,13,13,14,15,15,13,15,16,16,16,17,17,13,15,15,15,16,17,18,18,14,16,17,17,17,18,18,15,16,17,17,16,18,18,19,19,17,18,19,20,20,18,18,18,18,6,8,8,7,0,4,5,5,5,5,6,7,5,7,8,10,11,11,12,13,15,15,17,17,17,9,11,15,15,15,14,17,21,21,22,17,18,20,21,22,21,17,21,21,14
"114",15,15,14,13,14,14,12,13,13,12,13,13,12,13,13,13,14,14,14,15,15,14,16,17,17,10,13,14,15,16,17,17,14,14,14,16,16,14,15,16,17,18,18,10,11,14,15,16,18,18,18,15,16,16,15,15,15,16,17,17,15,17,18,18,18,19,19,15,17,17,17,18,19,20,20,16,18,19,19,19,20,20,17,18,19,19,18,20,20,21,21,19,20,21,22,22,20,20,20,20,8,10,10,9,4,0,3,5,5,5,8,9,7,9,10,12,13,13,14,15,17,17,19,19,19,11,13,17,17,17,16,19,23,23,24,19,20,22,23,24,23,19,23,23,16
"116",16,16,15,14,15,15,13,14,14,13,14,14,13,14,14,14,15,15,15,16,16,15,17,18,18,11,14,15,16,17,18,18,15,15,15,17,17,15,16,17,18,19,19,11,12,15,16,17,19,19,19,16,17,17,16,16,16,17,18,18,16,18,19,19,19,20,20,16,18,18,18,19,20,21,21,17,19,20,20,20,21,21,18,19,20,20,19,21,21,22,22,20,21,22,23,23,21,21,21,21,9,11,11,10,5,3,0,6,6,6,9,10,8,10,11,13,14,14,15,16,18,18,20,20,20,12,14,18,18,18,17,20,24,24,25,20,21,23,24,25,24,20,24,24,17
"117",16,16,15,14,15,15,13,14,14,13,14,14,13,14,14,14,15,15,15,16,16,15,17,18,18,11,14,15,16,17,18,18,15,15,15,17,17,15,16,17,18,19,19,11,12,15,16,17,19,19,19,16,17,17,16,16,16,17,18,18,16,18,19,19,19,20,20,16,18,18,18,19,20,21,21,17,19,20,20,20,21,21,18,19,20,20,19,21,21,22,22,20,21,22,23,23,21,21,21,21,9,11,11,10,5,5,6,0,2,4,9,10,8,10,11,13,14,14,15,16,18,18,20,20,20,12,14,18,18,18,17,20,24,24,25,20,21,23,24,25,24,20,24,24,17
"118",16,16,15,14,15,15,13,14,14,13,14,14,13,14,14,14,15,15,15,16,16,15,17,18,18,11,14,15,16,17,18,18,15,15,15,17,17,15,16,17,18,19,19,11,12,15,16,17,19,19,19,16,17,17,16,16,16,17,18,18,16,18,19,19,19,20,20,16,18,18,18,19,20,21,21,17,19,20,20,20,21,21,18,19,20,20,19,21,21,22,22,20,21,22,23,23,21,21,21,21,9,11,11,10,5,5,6,2,0,4,9,10,8,10,11,13,14,14,15,16,18,18,20,20,20,12,14,18,18,18,17,20,24,24,25,20,21,23,24,25,24,20,24,24,17
"120",16,16,15,14,15,15,13,14,14,13,14,14,13,14,14,14,15,15,15,16,16,15,17,18,18,11,14,15,16,17,18,18,15,15,15,17,17,15,16,17,18,19,19,11,12,15,16,17,19,19,19,16,17,17,16,16,16,17,18,18,16,18,19,19,19,20,20,16,18,18,18,19,20,21,21,17,19,20,20,20,21,21,18,19,20,20,19,21,21,22,22,20,21,22,23,23,21,21,21,21,9,11,11,10,5,5,6,4,4,0,9,10,8,10,11,13,14,14,15,16,18,18,20,20,20,12,14,18,18,18,17,20,24,24,25,20,21,23,24,25,24,20,24,24,17
